method,symbols,snr_db,shape_success,utility_psnr,note
repetition_code,768,-4.0,1.0,19.345708591991382,3-bit shape metadata; rate=0.00391
random_codebook,768,-4.0,1.0,19.345708591991382,3-bit shape metadata; rate=0.00391
semantic_header,768,-3.5,1.0,20.54358963454742,3-bit shape metadata; rate=0.00391
repetition_code,768,-3.5,1.0,20.54358963454742,3-bit shape metadata; rate=0.00391
random_codebook,768,-3.5,1.0,20.54358963454742,3-bit shape metadata; rate=0.00391
semantic_header,768,-3.0,1.0,21.322291903556184,3-bit shape metadata; rate=0.00391
repetition_code,768,-3.0,1.0,21.322291903556184,3-bit shape metadata; rate=0.00391
random_codebook,768,-3.0,1.0,21.322291903556184,3-bit shape metadata; rate=0.00391
semantic_header,768,-2.5,1.0,22.055282810343336,3-bit shape metadata; rate=0.00391
repetition_code,768,-2.5,1.0,22.055282810343336,3-bit shape metadata; rate=0.00391
random_codebook,768,-2.5,1.0,22.055282810343336,3-bit shape metadata; rate=0.00391
semantic_header,768,-2.0,1.0,22.34386780618552,3-bit shape metadata; rate=0.00391
