image,snr_db,oracle_psnr
kodim19,0.5,28.707025949283263
kodim19,1.0,29.358885240250622
kodim19,1.5,29.614822859303487
kodim19,2.0,30.419345095346742
kodim19,2.5,30.53144408012991
kodim19,3.0,31.15965547794906
kodim19,3.5,31.33490736445947
kodim19,4.0,31.631123404185054
kodim20,-12.0,7.798898233103908
kodim20,-11.5,9.170367826495728
kodim20,-11.0,8.82970300657544
kodim20,-10.5,9.646899409045266
kodim20,-10.0,9.043593207108287
kodim20,-9.5,9.95931617591263
kodim20,-9.0,10.808987677441174
kodim20,-8.5,11.852845583236187
kodim20,-8.0,13.376790721959367
kodim20,-7.5,13.379442937139956
kodim20,-7.0,15.045033107971435
kodim20,-6.5,12.407537586895218
kodim20,-6.0,18.591655785644605
kodim20,-5.5,17.59631678239744
kodim20,-5.0,21.14953025814796
kodim20,-4.5,23.361463781607597
kodim20,-4.0,21.96014058986676
kodim20,-3.5,26.28210509850871
kodim20,-3.0,27.634851219897275
kodim20,-2.5,26.507546369373802
kodim20,-2.0,25.130738442964955
kodim20,-1.5,29.382786893590826
kodim20,-1.0,30.747310791335348
kodim20,-0.5,30.64591229979699
kodim20,0.0,31.392844037410086
kodim20,0.5,31.736328618903524
kodim20,1.0,31.94407703370651
kodim20,1.5,32.6133885692506
kodim20,2.0,32.80098781714952
kodim20,2.5,33.09764295248343
kodim20,3.0,33.41372086979333
kodim20,3.5,33.58913978523798
kodim20,4.0,33.781109998238186
kodim23,-12.0,12.147211658874879
kodim23,-11.5,12.794598603809064
kodim23,-11.0,13.940663605595002
kodim23,-10.5,14.155087246145941
kodim23,-10.0,14.730953322374587
kodim23,-9.5,15.33816226752066
kodim23,-9.0,15.822274912225478
kodim23,-8.5,17.073433133006525
kodim23,-8.0,16.10625205496617
kodim23,-7.5,17.924711035842495
kodim23,-7.0,19.212804263461233
kodim23,-6.5,17.17296595262665
kodim23,-6.0,20.127581150888187
kodim23,-5.5,21.76094949439719
kodim23,-5.0,21.967201616112405
kodim23,-4.5,23.25087840044105
kodim23,-4.0,24.114508975466592
kodim23,-3.5,25.779814101103412
kodim23,-3.0,27.787158399118038
kodim23,-2.5,28.259074928658237
kodim23,-2.0,30.005069221527236
kodim23,-1.5,30.394479533535264
kodim23,-1.0,31.361623542317982
kodim23,-0.5,31.292143798427553
kodim23,0.0,32.71358366652261
kodim23,0.5,33.21963338836026
kodim23,1.0,32.961847780106474
kodim23,1.5,33.709818286159425
kodim23,2.0,34.61574433375694
kodim23,2.5,34.799401022392175
kodim23,3.0,35.06936472589805
kodim23,3.5,35.28013262337199
kodim23,4.0,35.468645590800485
kodim24,-12.0,9.037335487002752
kodim24,-11.5,9.492846065956527
kodim24,-11.0,9.51970442899089
kodim24,-10.5,10.047962914164497
kodim24,-10.0,10.132680510869736
kodim24,-9.5,10.89056194959976
kodim24,-9.0,11.264183766947259
kodim24,-8.5,11.693605844756883
kodim24,-8.0,12.073904551921528
kodim24,-7.5,12.948221691190229
kodim24,-7.0,13.261081351244218
kodim24,-6.5,13.378924763292378
kodim24,-6.0,14.693853871739222
kodim24,-5.5,14.98994736002608
kodim24,-5.0,15.824860012860373
kodim24,-4.5,16.42804070408805
kodim24,-4.0,17.3306681472825
kodim24,-3.5,18.036336472309543
kodim24,-3.0,18.071848640893666
kodim24,-2.5,19.23955138388717
kodim24,-2.0,20.006226493578797
kodim24,-1.5,21.173308803438267
kodim24,-1.0,21.44265484718931
kodim24,-0.5,21.89642883776749
kodim24,0.0,23.372818599337588
kodim24,0.5,23.24312992915619
kodim24,1.0,24.02531224449811
kodim24,1.5,25.13249718461832
kodim24,2.0,25.575162304387757
kodim24,2.5,26.342531160961094
kodim24,3.0,26.9053954828502
kodim24,3.5,27.237240014944643
kodim24,4.0,27.692750812573994
