image,snr_db,semantic_psnr,semantic_ok,ldpc_psnr,ldpc_ok,semantic_header_psnr,semantic_header_ok,reencode_psnr,reencode_ok,latsmooth_psnr,latsmooth_ok,gradent_psnr,gradent_ok,tv_psnr,tv_ok,watermark,alpha
kodim08,-12.0,8.673786091984685,1,0.0,0,8.672623207200497,1,8.662496539851391,1,8.662496539851391,1,8.662496539851391,1,8.662496539851391,1,component,0.1
kodim08,-11.5,8.826791179591662,1,0.0,0,8.751216239570107,1,0.0,0,8.760344616954095,1,0.0,0,8.760344616954095,1,component,0.1
kodim08,-11.0,8.827579596354212,1,0.0,0,8.888674479757968,1,0.0,0,8.93547531182859,1,8.93547531182859,1,0.0,0,component,0.1
kodim08,-10.5,8.997939371174585,1,0.0,0,9.091084112582408,1,0.0,0,9.069013381774539,1,9.069013381774539,1,9.069013381774539,1,component,0.1
kodim08,-10.0,9.128106964610602,1,0.0,0,9.244984401833445,1,9.256607422264201,1,9.256607422264201,1,9.256607422264201,1,0.0,0,component,0.1
kodim08,-9.5,9.391347412183444,1,0.0,0,9.288941654243917,1,0.0,0,9.335489487841564,1,9.335489487841564,1,9.335489487841564,1,component,0.1
kodim08,-9.0,9.843375648679194,1,0.0,0,9.641650875882897,1,9.713014372538915,1,9.713014372538915,1,9.713014372538915,1,0.0,0,component,0.1
kodim08,-8.5,9.901518401399738,1,0.0,0,10.076420423567715,1,9.961690553708578,1,9.961690553708578,1,0.0,0,0.0,0,component,0.1
kodim08,-8.0,10.274160726572815,1,0.0,0,10.265060223051645,1,10.509528556803744,1,10.509528556803744,1,10.509528556803744,1,10.509528556803744,1,component,0.1
kodim08,-7.5,10.746913555289234,1,0.0,0,10.766069466424428,1,10.6621835385074,1,10.6621835385074,1,10.6621835385074,1,0.0,0,component,0.1
kodim08,-7.0,11.092001213510262,1,0.0,0,11.153007798887911,1,0.0,0,11.109359255385414,1,11.109359255385414,1,11.109359255385414,1,component,0.1
kodim08,-6.5,11.56191837342262,1,0.0,0,11.816142418845178,1,0.0,0,11.6613687620892,1,0.0,0,11.6613687620892,1,component,0.1
kodim08,-6.0,12.288593872798842,1,0.0,0,11.911578316394118,1,0.0,0,11.877095637860673,1,11.877095637860673,1,11.877095637860673,1,component,0.1
kodim08,-5.5,12.753168362537737,1,0.0,0,12.594354492262267,1,12.78306720413164,1,12.78306720413164,1,12.78306720413164,1,0.0,0,component,0.1
